"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county","rape.rate5","rape.rate6","rape.rate7","rape.rate9","rape.rate11","rape.rate12","rape.rate13","rape.rate15"
77064,NA,NA,NA,NA,NA,NA,NA,1642,NA,1642,1642,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.92,-95.54,"TX",NA,"The Art Institute of Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77064,NA,NA,NA,NA,NA,NA,NA,1778,NA,1778,1778,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.92,-95.54,"TX",NA,"Strayer University-Texas","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77067,NA,NA,NA,NA,NA,NA,NA,543,NA,543,543,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.95,-95.45,"TX",NA,"Remington College-North Houston Campus","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77068,NA,NA,NA,NA,NA,NA,NA,49,NA,49,49,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30.01,-95.49,"TX",NA,"Champion Beauty College","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77069,NA,NA,141,124,NA,NA,141,NA,124,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,29.99,-95.53,"TX","Private for-profit, less-than 2-year","Royal Beauty Careers","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77069,NA,NA,NA,34,NA,NA,NA,NA,34,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,29.99,-95.53,"TX",NA,"Champion Beauty College","Houston","Harris County",NA,NA,0,NA,NA,NA,NA,NA
77070,NA,NA,NA,8608,NA,NA,NA,8315,8608,8315,8315,NA,NA,0,0,NA,NA,NA,NA,0,0,0,29.98,-95.57,"TX",NA,"Prairie View A & M University","Houston","Harris County",NA,NA,0,NA,NA,NA,0,0
77070,NA,NA,NA,NA,NA,NA,NA,70724,NA,70724,70724,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.98,-95.57,"TX",NA,"Lone Star College System","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77071,NA,NA,72,150,NA,NA,72,2,150,2,2,0,0,0,0,NA,NA,NA,NA,0,0,0,29.65,-95.52,"TX","Private for-profit, less-than 2-year","Trend Barber College","Houston","Harris County",0,0,0,NA,NA,NA,0,0
77071,NA,NA,NA,NA,NA,NA,NA,141,NA,141,141,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,29.65,-95.52,"TX",NA,"Jay's Technical Institute","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77073,NA,NA,640,1206,NA,NA,640,NA,1206,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,30,-95.4,"TX","Private for-profit, less-than 2-year","Texas School of Business Inc","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77073,NA,NA,2454,3479,NA,NA,2454,NA,3479,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,30,-95.4,"TX","Private for-profit, 2-year","Universal Technical Institute of Texas Inc","Houston","Harris County",0,0,0,NA,NA,NA,NA,NA
77073,NA,NA,NA,46504,NA,NA,NA,70724,46504,70724,70724,NA,NA,0,0,NA,NA,NA,NA,0,0,0,30,-95.4,"TX",NA,"Lone Star College System","Houston","Harris County",NA,NA,0,NA,NA,NA,0,0
77073,NA,NA,NA,NA,NA,NA,NA,541,NA,541,541,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,-95.4,"TX",NA,"MIAT College of Technology","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
77073,NA,NA,NA,NA,NA,NA,NA,336,NA,336,336,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,-95.4,"TX",NA,"Brightwood College-Houston","Houston","Harris County",NA,NA,NA,NA,NA,NA,0,0
