"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"Antioch University-Santa Barbara","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University-Seattle","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antioch University McGregor","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Antioch University New England","Private nonprofit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Antioch University PhD Program in Leadership and Change","Private nonprofit, 4-year or above",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Antioch University Seattle","Private nonprofit, 4-year or above",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Antonelli College","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Antonelli College-Cincinnati","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antonelli College-Hattiesburg","Private for-profit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Antonelli College-Jackson","Private for-profit, 2-year",0,NA,NA,NA,NA,0,0,0,0,0,0
"Antonelli Institute","Private for-profit, 2-year",0,0,0,NA,NA,NA,NA,NA,NA,0,0
"Antonelli Medical and Professional Institute","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"AOMA Graduate School of Integrative Medicine","Private for-profit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Apex Academy of Hair Design Inc","Private for-profit, less-than 2-year",0,0,0,0,0,0,0,0,0,0,0
"Apex School of Theology","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Apex Technical School","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apollo Career Center","Public, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Apollo College","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Apollo College-Phoenix Inc","Private for-profit, 4-year or above",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Apollo College-Portland Inc","Private for-profit, 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Appalachian Beauty School","Private for-profit, 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Appalachian Bible College","Private nonprofit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Appalachian College of Pharmacy","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Appalachian School of Law","Private nonprofit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Appalachian State University","Public, 4-year or above",7,NA,NA,NA,NA,NA,NA,NA,NA,8,6
"Appalachian Technical College","Public, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Applied Technology Services","Public, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Aquinas College","Private nonprofit, 4-year or above",2,NA,NA,1,0,NA,NA,NA,NA,2,2
"Aquinas Institute of Theology","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Arapahoe Community College","Public, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Arcadia University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,13,6
"Argosy University-Atlanta","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-Chicago","Private for-profit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"Argosy University-Dallas","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argosy University-Denver","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argosy University-Hawaii","Private for-profit, 4-year or above",0,0,0,0,0,NA,NA,NA,NA,0,0
"Argosy University-Inland Empire","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argosy University-Los Angeles","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argosy University-Nashville","Private for-profit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Argosy University-Orange County","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
