"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"Concordia University-Nebraska",NA,NA,NA,NA,NA,NA,68434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",917,1540,2457,0,0,0
"Concordia University-Nebraska",NA,NA,NA,NA,NA,NA,68521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",917,1540,2457,0,0,0
"Doane University-Arts & Sciences",NA,NA,NA,NA,NA,NA,68333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",555,502,1057,0,1,1
"CHI Health School of Radiologic Technology",NA,NA,NA,NA,NA,NA,681221799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",2,17,19,0,0,0
"CHI Health School of Radiologic Technology",NA,NA,NA,NA,NA,NA,51503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",2,17,19,0,0,0
"CHI Health School of Radiologic Technology",NA,NA,NA,NA,NA,NA,68124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",2,17,19,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,685102226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,683103924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,68803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,689015003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,688475346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,687015338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Joseph's College Cosmetology",NA,NA,NA,NA,NA,NA,691017024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",6,239,245,0,0,0
"Metropolitan Community College Area",NA,NA,NA,NA,NA,NA,68008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",6747,8065,14812,0,0,0
"Metropolitan Community College Area",NA,NA,NA,NA,NA,NA,68108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",6747,8065,14812,0,0,0
"Nebraska Wesleyan University",NA,NA,NA,NA,NA,NA,68154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",768,1281,2049,0,0,0
"Academy of Hair Design-Las Vegas",NA,NA,NA,NA,NA,NA,89146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",2,46,48,0,0,0
"University of New Hampshire-School of Law",NA,NA,NA,NA,NA,NA,3301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",142,111,253,0,0,0
"New England School of Hair Design",NA,NA,NA,NA,NA,NA,3784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",1,32,33,0,0,0
"Paul Mitchell the School-Portsmouth",NA,NA,NA,NA,NA,NA,38014084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",0,52,52,0,0,0
"Eastwick College-Hackensack",NA,NA,NA,NA,NA,NA,7601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",56,282,338,0,0,0
"Fortis Institute-Wayne",NA,NA,NA,NA,NA,NA,7470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",192,331,523,0,0,0
"Berkeley College-Woodland Park",NA,NA,NA,NA,NA,NA,7424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",1051,2791,3842,0,1,0
"Berkeley College-Woodland Park",NA,NA,NA,NA,NA,NA,7801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",1051,2791,3842,0,0,0
"Rowan College at Burlington County",NA,NA,NA,NA,NA,NA,80681599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",3778,4984,8762,1,0,0
"Rowan College at Burlington County",NA,NA,NA,NA,NA,NA,80549416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",3778,4984,8762,1,0,0
"Rowan College at Burlington County",NA,NA,NA,NA,NA,NA,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",3778,4984,8762,0,0,0
"Rowan College at Burlington County",NA,NA,NA,NA,NA,NA,8060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",3778,4984,8762,0,0,0
"Caldwell University",NA,NA,NA,NA,NA,NA,70066195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",552,1586,2138,0,1,2
"Camden County College",NA,NA,NA,NA,NA,NA,8012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",4851,6412,11263,0,0,0
"Adult and Continuing Education-BCTS",NA,NA,NA,NA,NA,NA,7601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, less-than 2-year",68,14,82,0,0,0
"Adult and Continuing Education-BCTS",NA,NA,NA,NA,NA,NA,7652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, less-than 2-year",68,14,82,0,0,0
"Branford Hall Career Institute-Parsippany",NA,NA,NA,NA,NA,NA,7054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",45,51,96,0,0,0
"American Institute-Clifton",NA,NA,NA,NA,NA,NA,7011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",130,531,661,0,0,0
"Cumberland County College",NA,NA,NA,NA,NA,NA,8360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",1319,2134,3453,0,0,0
"Empire Beauty School-Union",NA,NA,NA,NA,NA,NA,7083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",11,96,107,0,0,0
"Felician University",NA,NA,NA,NA,NA,NA,7644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",516,1441,1957,0,0,0
"Rowan University",NA,NA,NA,NA,NA,NA,8103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",8215,7940,16155,0,0,0
"Rowan College at Gloucester County",NA,NA,NA,NA,NA,NA,8080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",3009,3827,6836,0,0,0
"Eastwick College-Ramsey",NA,NA,NA,NA,NA,NA,7446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",143,567,710,0,0,0
"JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing",NA,NA,NA,NA,NA,NA,7061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",62,321,383,0,0,0
"Eastwick College-Nutley",NA,NA,NA,NA,NA,NA,7110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",142,182,324,0,0,0
"Rutgers University-Newark",NA,NA,NA,NA,NA,NA,7103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",5824,5896,11720,1,0,2
"Rutgers University-Newark",NA,NA,NA,NA,NA,NA,7076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",5824,5896,11720,0,0,0
"Rutgers University-Newark",NA,NA,NA,NA,NA,NA,8012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",5824,5896,11720,0,0,0
"Rutgers University-Newark",NA,NA,NA,NA,NA,NA,8084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",5824,5896,11720,0,0,0
"Seton Hall University",NA,NA,NA,NA,NA,NA,87012697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",4203,5621,9824,0,0,0
"Stockton University",NA,NA,NA,NA,NA,NA,82059441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",3399,5275,8674,1,6,2
"Thomas Edison State University",NA,NA,NA,NA,NA,NA,86081176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",7024,6069,13093,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,883105051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,88001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,87110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,882019775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,735014600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,763082823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,76053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,799126709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,761161702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,762011848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,760104408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,750743081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,751504728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,75062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Olympian Academy of Cosmetology",NA,NA,NA,NA,NA,NA,327505365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",75,993,1068,0,0,0
"Central New Mexico Community College",NA,NA,NA,NA,NA,NA,87113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",11236,14524,25760,0,0,0
"Navajo Technical University",NA,NA,NA,NA,NA,NA,873130849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",674,1012,1686,1,0,0
"Santa Fe University of Art and Design",NA,NA,NA,NA,NA,NA,875057634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",447,472,919,0,0,0
"University of New Mexico-Taos Campus",NA,NA,NA,NA,NA,NA,87557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",729,997,1726,0,0,0
"Vogue College of Cosmetology-Santa Fe",NA,NA,NA,NA,NA,NA,87505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",8,80,88,0,0,0
"Bryant & Stratton College-Albany",NA,NA,NA,NA,NA,NA,12205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",76,353,429,0,0,0
"Albany College of Pharmacy and Health Sciences",NA,NA,NA,NA,NA,NA,5446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",589,893,1482,0,0,0
"American Academy of Dramatic Arts-New York",NA,NA,NA,NA,NA,NA,10016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",87,174,261,0,0,0
"Joffrey Ballet School",NA,NA,NA,NA,NA,NA,10011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",51,241,292,0,0,0
"American Musical and Dramatic Academy",NA,NA,NA,NA,NA,NA,90028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",481,1028,1509,1,0,0
"Apex Technical School",NA,NA,NA,NA,NA,NA,11101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",1130,22,1152,0,0,0
"Bard College",NA,NA,NA,NA,NA,NA,12571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1022,1310,2332,8,4,4
"Bard College",NA,NA,NA,NA,NA,NA,10024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1022,1310,2332,0,0,0
"Berkeley College-New York",NA,NA,NA,NA,NA,NA,10017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",1564,2839,4403,0,0,0
"Berkeley College-New York",NA,NA,NA,NA,NA,NA,10601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",1564,2839,4403,0,0,0
"Berkeley College-New York",NA,NA,NA,NA,NA,NA,11201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",1564,2839,4403,0,0,0
"Hair Design Institute at Fifth Avenue-Brooklyn",NA,NA,NA,NA,NA,NA,11209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",4,110,114,0,0,0
"SUNY Broome Community College",NA,NA,NA,NA,NA,NA,13905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",2558,3368,5926,0,1,0
"Bryant & Stratton College-Amherst",NA,NA,NA,NA,NA,NA,14068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",64,253,317,0,0,0
"Bryant & Stratton College-Syracuse North",NA,NA,NA,NA,NA,NA,13090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",67,272,339,0,0,0
"Bryant & Stratton College-Syracuse",NA,NA,NA,NA,NA,NA,132032502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",139,350,489,0,0,0
"Bryant & Stratton College-Buffalo",NA,NA,NA,NA,NA,NA,14203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",139,461,600,0,0,0
"Bryant & Stratton College-Greece",NA,NA,NA,NA,NA,NA,14612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 4-year or above",79,297,376,0,0,0
"Capri Cosmetology Learning Centers",NA,NA,NA,NA,NA,NA,10954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",4,206,210,0,0,0
"Capri Cosmetology Learning Centers",NA,NA,NA,NA,NA,NA,12550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",4,206,210,0,0,0
"St Paul's School of Nursing-Queens",NA,NA,NA,NA,NA,NA,11374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",70,447,517,0,0,0
"Metropolitan College of New York",NA,NA,NA,NA,NA,NA,100061742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",329,866,1195,0,0,0
"Concordia College-New York",NA,NA,NA,NA,NA,NA,107081998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",373,783,1156,0,3,1
"Continental School of Beauty Culture-Buffalo",NA,NA,NA,NA,NA,NA,14223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",6,89,95,0,0,0
"Continental School of Beauty Culture-Batavia",NA,NA,NA,NA,NA,NA,14020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",3,34,37,0,0,0
"Continental School of Beauty Culture-Rochester",NA,NA,NA,NA,NA,NA,14623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",4,255,259,0,0,0
"Cornell University",NA,NA,NA,NA,NA,NA,10011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",11223,10681,21904,0,0,0
"Weill Cornell Medical College",NA,NA,NA,NA,NA,NA,10065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",494,543,1037,0,0,1
"Weill Cornell Medical College",NA,NA,NA,NA,NA,NA,10022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",494,543,1037,0,0,1
"Weill Cornell Medical College",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",494,543,1037,0,0,0
"Corning Community College",NA,NA,NA,NA,NA,NA,14901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",1657,2315,3972,0,0,0
"Corning Community College",NA,NA,NA,NA,NA,NA,14845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",1657,2315,3972,0,0,0
"Pomeroy College of Nursing at Crouse Hospital",NA,NA,NA,NA,NA,NA,132101687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",32,267,299,0,0,0
"Culinary Institute of America",NA,NA,NA,NA,NA,NA,12538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1435,1424,2859,3,1,2
"Culinary Institute of America",NA,NA,NA,NA,NA,NA,94575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1435,1424,2859,2,0,2
"Culinary Institute of America",NA,NA,NA,NA,NA,NA,78215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1435,1424,2859,0,0,0
"Culinary Institute of America",NA,NA,NA,NA,NA,NA,529757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",1435,1424,2859,0,0,0
"College of Staten Island CUNY",NA,NA,NA,NA,NA,NA,10314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",5889,7812,13701,0,0,3
"CUNY Hostos Community College",NA,NA,NA,NA,NA,NA,10034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 2-year",2489,4882,7371,0,0,0
"CUNY John Jay College of Criminal Justice",NA,NA,NA,NA,NA,NA,10019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",6352,8380,14732,0,0,0
"CUNY School of Law",NA,NA,NA,NA,NA,NA,111014356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Public, 4-year or above",128,233,361,0,0,0
"Daemen College",NA,NA,NA,NA,NA,NA,11204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",723,2044,2767,0,0,0
"Belanger School of Nursing",NA,NA,NA,NA,NA,NA,12304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 2-year",17,110,127,0,0,0
"Fordham University",NA,NA,NA,NA,NA,NA,10604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",6227,9059,15286,0,0,0
"Fordham University",NA,NA,NA,NA,NA,NA,18009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",6227,9059,15286,0,0,0
"Fordham University",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",6227,9059,15286,0,0,0
"Fordham University",NA,NA,NA,NA,NA,NA,10504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",6227,9059,15286,0,0,0
"The International Culinary Center",NA,NA,NA,NA,NA,NA,100132618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, less-than 2-year",216,254,470,0,0,0
"Gemological Institute of America-New York",NA,NA,NA,NA,NA,NA,100360601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, less-than 2-year",48,131,179,0,0,0
"Houghton College",NA,NA,NA,NA,NA,NA,14224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, 4-year or above",394,690,1084,0,0,0
"Hunter Business School",NA,NA,NA,NA,NA,NA,11763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private for-profit, 2-year",157,736,893,0,0,0
"Isabella Graham Hart School of Practical Nursing",NA,NA,NA,NA,NA,NA,14617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Private nonprofit, less-than 2-year",8,49,57,0,0,0
