"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"University of Alaska Anchorage","Public, 4-year or above",6454,10009,16463,0,1,99508,1,0,7122,10154,17276,"7500","10628","18128",1,"Public, 4-year or above","Public, 4-year or above","7268","10229","17497","1",4,3,"Public, 4-year or above",7047,9715,16762,6,3,1
"University of Alaska Anchorage","Public, 4-year or above",6454,10009,16463,0,0,99645,0,0,7122,10154,17276,"7500","10628","18128",0,"Public, 4-year or above","Public, 4-year or above","7268","10229","17497","0",0,0,"Public, 4-year or above",7047,9715,16762,0,0,0
"University of Alaska Anchorage","Public, 4-year or above",6454,10009,16463,0,0,99669,0,0,7122,10154,17276,"7500","10628","18128",0,"Public, 4-year or above","Public, 4-year or above","7268","10229","17497","0",1,0,"Public, 4-year or above",7047,9715,16762,1,1,0
"University of Alaska Anchorage","Public, 4-year or above",6454,10009,16463,0,0,996037624,0,0,7122,10154,17276,"7500","10628","18128",0,"Public, 4-year or above","Public, 4-year or above","7268","10229","17497","0",0,0,"Public, 4-year or above",7047,9715,16762,0,0,0
"University of Alaska Anchorage","Public, 4-year or above",6454,10009,16463,0,0,99615,0,0,7122,10154,17276,"7500","10628","18128",0,"Public, 4-year or above","Public, 4-year or above","7268","10229","17497","0",0,0,"Public, 4-year or above",7047,9715,16762,0,0,0
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,2,3,997757480,2,0,3693,5444,9137,"4042","5670","9712",5,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","5",19,4,"Public, 4-year or above",3685,4953,8638,6,0,4
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,995590368,1,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,99762,0,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,99576,0,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
"University of Alaska Fairbanks","Public, 4-year or above",3554,5064,8618,0,0,99752,0,0,3693,5444,9137,"4042","5670","9712",0,"Public, 4-year or above","Public, 4-year or above","3879","5344","9223","0",0,0,"Public, 4-year or above",3685,4953,8638,0,0,0
